R,G,B,TextColor
173,115,61,black
229,220,250,black
228,197,249,black
2,116,89,white
134,220,24,black
35,78,21,white
109,177,140,black
120,89,9,white
167,116,242,black
15,94,66,white
49,236,13,black
109,33,228,white
58,55,127,white
189,18,168,white
223,118,2,black
221,93,216,black
53,3,92,white
32,217,152,black
16,140,37,black
189,70,152,white
181,157,0,black
118,131,163,black
209,175,63,black
101,63,206,white
49,196,142,black
163,236,180,black
0,86,227,white
208,249,99,black
9,7,4,white
249,151,172,black
39,188,171,black
110,170,146,black
238,103,228,black
197,216,135,black
35,35,39,white
248,63,127,black
185,204,137,black
8,198,219,black
162,59,181,white
74,219,13,black
62,86,231,white
206,250,138,black
217,44,163,black
107,155,112,black
247,183,129,black
15,203,181,black
229,5,5,white
4,193,43,black
219,1,93,white
99,189,244,black
2,179,134,black
16,203,16,black
3,148,211,black
105,165,211,black
178,210,214,black
38,130,30,white
66,189,212,black
154,75,80,white
100,83,26,white
133,38,147,white
76,25,125,white
77,168,220,black
110,216,27,black
223,78,162,black
40,204,182,black
141,16,226,white
18,63,96,white
140,74,131,white
10,40,248,white
233,199,93,black
165,176,36,black
200,154,33,black
101,152,195,black
124,156,177,black
116,122,232,black
36,48,62,white
50,113,51,white
97,209,238,black
229,190,85,black
76,239,89,black
52,47,84,white
41,49,216,white
185,99,229,black
10,178,85,black
23,34,164,white
101,154,251,black
236,4,28,black
140,215,109,black
133,196,240,black
192,6,121,white
43,26,176,white
150,112,70,black
100,146,4,black
54,90,123,white
176,181,0,black
168,128,34,black
30,205,85,black
45,209,62,black
246,38,19,black
12,183,221,black
48,171,243,black
16,252,31,black
121,201,254,black
99,101,205,white
71,178,159,black
206,234,90,black
252,97,183,black
177,129,41,black
218,110,200,black
243,244,12,black
224,111,196,black
122,136,138,black
132,24,47,white
122,244,158,black
130,60,66,white
180,167,20,black
152,91,152,white
45,236,0,black
167,77,90,white
185,32,198,white
250,172,78,black
16,29,143,white
56,107,165,white
155,55,25,white
231,150,140,black
84,209,231,black
232,125,125,black
94,6,157,white
61,192,243,black
126,57,170,white
56,20,159,white
65,156,220,black
17,229,240,black
71,6,197,white
67,55,71,white
43,51,198,white
86,57,19,white
153,203,180,black
243,248,45,black
107,20,121,white
1,115,240,black
215,12,84,white
194,74,230,black
135,100,16,white
137,33,176,white
172,38,60,white
45,116,212,white
195,80,125,black
14,194,0,black
153,186,146,black
192,19,107,white
176,87,110,white
157,184,93,black
120,201,40,black
229,233,183,black
93,84,27,white
241,111,103,black
133,215,237,black
96,168,50,black
255,163,40,black
33,105,203,white
55,203,149,black
70,210,196,black
10,9,28,white
90,213,26,black
3,186,204,black
146,118,188,black
246,204,182,black
228,165,11,black
214,250,228,black
138,204,120,black
22,249,56,black
198,167,21,black
226,47,97,black
87,3,156,white
101,43,1,white
180,157,97,black
126,209,0,black
162,2,183,white
230,47,186,black
65,206,237,black
171,200,29,black
202,24,217,black
216,210,154,black
78,186,114,black
165,230,242,black
175,38,147,white
119,96,25,white
29,37,227,white
142,91,100,white
33,148,237,black
27,75,11,white
148,36,214,white
221,43,227,black
108,131,235,black
106,248,245,black
123,241,30,black
114,212,81,black
209,161,191,black
172,226,72,black
184,228,181,black
20,81,109,white
22,237,116,black
245,128,114,black
